side,error_type,move_number,san,move_san,count
White,blunder,4,Bg5,4. Bg5,37
Black,blunder,9,O-O,9. O-O,18
Black,blunder,10,O-O,10. O-O,15
Black,blunder,11,O-O,11. O-O,15
Black,blunder,5,Nc6,5. Nc6,14
Black,blunder,5,Nf6,5. Nf6,14
White,blunder,4,O-O,4. O-O,14
Black,blunder,7,O-O,7. O-O,13
White,blunder,3,Bg2,3. Bg2,13
White,blunder,5,Nf3,5. Nf3,13
White,blunder,7,Nc3,7. Nc3,13
Black,blunder,3,Bxc5,3. Bxc5,12
Black,blunder,3,e6,3. e6,12
Black,blunder,4,Nf6,4. Nf6,12
Black,blunder,6,Nf6,6. Nf6,12
White,blunder,10,O-O,10. O-O,12
Black,blunder,8,O-O,8. O-O,11
Black,blunder,13,O-O,13. O-O,11
White,blunder,7,cxd5,7. cxd5,11
Black,blunder,5,d5,5. d5,10
Black,blunder,6,d5,6. d5,10
Black,blunder,7,Be7,7. Be7,10
Black,blunder,7,Nf6,7. Nf6,10
Black,blunder,12,O-O,12. O-O,10
Black,blunder,16,Qc7,16. Qc7,10
White,blunder,6,Nc3,6. Nc3,10
White,blunder,8,cxd5,8. cxd5,10
White,blunder,10,Bg5,10. Bg5,10
White,blunder,19,Ne4,19. Ne4,10
White,blunder,27,Re1,27. Re1,10
Black,blunder,2,e6,2. e6,9
Black,blunder,6,Bd6,6. Bd6,9
Black,blunder,9,e5,9. e5,9
Black,blunder,12,Qb6,12. Qb6,9
Black,blunder,14,O-O,14. O-O,9
Black,blunder,15,Ne5,15. Ne5,9
Black,blunder,15,Qb6,15. Qb6,9
White,blunder,7,Bg5,7. Bg5,9
White,blunder,7,e3,7. e3,9
White,blunder,8,Ne5,8. Ne5,9
White,blunder,9,Bd3,9. Bd3,9
White,blunder,9,Bg5,9. Bg5,9
Black,blunder,6,Bb4,6. Bb4,8
Black,blunder,6,Be7,6. Be7,8
Black,blunder,7,d5,7. d5,8
Black,blunder,10,d5,10. d5,8
Black,blunder,12,Nd4,12. Nd4,8
Black,blunder,15,O-O,15. O-O,8
Black,blunder,17,g6,17. g6,8
White,blunder,7,Bd3,7. Bd3,8
White,blunder,8,Bd3,8. Bd3,8
White,blunder,8,Bg5,8. Bg5,8
White,blunder,12,Bf4,12. Bf4,8
White,blunder,25,Rc1,25. Rc1,8
White,blunder,27,Kg2,27. Kg2,8
Black,blunder,3,Nf6,3. Nf6,7
Black,blunder,5,Bb4+,5. Bb4+,7
Black,blunder,6,Nc6,6. Nc6,7
Black,blunder,7,Nc6,7. Nc6,7
Black,blunder,10,Qb6,10. Qb6,7
Black,blunder,11,Ne5,11. Ne5,7
Black,blunder,12,Be6,12. Be6,7
Black,blunder,12,Ng4,12. Ng4,7
Black,blunder,13,Bd7,13. Bd7,7
Black,blunder,14,Qc7,14. Qc7,7
Black,blunder,14,Re8,14. Re8,7
Black,blunder,15,g6,15. g6,7
Black,blunder,16,Qb6,16. Qb6,7
Black,blunder,17,Qf5,17. Qf5,7
Black,blunder,17,Qxb2,17. Qxb2,7
Black,blunder,20,Bf5,20. Bf5,7
Black,blunder,20,Qf6,20. Qf6,7
White,blunder,3,Nc3,3. Nc3,7
White,blunder,4,Nc3,4. Nc3,7
White,blunder,6,c4,6. c4,7
White,blunder,9,Nc3,9. Nc3,7
White,blunder,10,Ne5,10. Ne5,7
White,blunder,11,Bg5,11. Bg5,7
White,blunder,11,e4,11. e4,7
White,blunder,12,b3,12. b3,7
White,blunder,15,e4,15. e4,7
White,blunder,18,Ne4,18. Ne4,7
