your_color,opening_name,eco,draw,loss,win,total,win_rate
Black,Alapin Sicilian Defense,B22,6,84,91,181,0.5027624309392266
Black,Alapin Sicilian Defense 2,B22,2,60,62,124,0.5
Black,Alapin Sicilian Defense Barmen Defense 4.d4 Nc6,B22,0,0,1,1,1.0
Black,Alapin Sicilian Defense Barmen Defense 4.d4 cxd4 5.cxd4 Nc6,B22,0,1,0,1,0.0
Black,Alekhines Defense Scandinavian Variation 3.exd5,B02,1,0,1,2,0.5
Black,Alekhines Defense Scandinavian Variation 3.exd5 Nxd5,B02,0,0,1,1,1.0
Black,Anderssen Opening,A00,0,4,3,7,0.42857142857142855
Black,Anderssen Opening 1,A00,0,0,1,1,1.0
Black,Benoni Defense Hromadka System,A57,0,2,0,2,0.0
Black,Benoni Defense Hromadka System 4.Nc3,A57,0,0,1,1,1.0
Black,Benoni Defense Modern Classical Variation 7,A70,0,1,1,2,0.5
Black,Benoni Defense Modern Kings Pawn Line,A65,0,8,13,21,0.6190476190476191
Black,Benoni Defense Modern Variation,A60,0,1,0,1,0.0
Black,Benoni Defense Modern Variation 4.Nc3 d6,A60,2,16,17,35,0.4857142857142857
Black,Benoni Defense Modern Variation 4.Nc3 d6 5.e4,A60,0,65,64,129,0.49612403100775193
Black,Benoni Defense Modern Variation 4.Nc3 exd5 5.cxd5 d6 6.Nf3,A60,0,2,2,4,0.5
Black,Benoni Defense Weenink Variation,A56,0,2,0,2,0.0
Black,Benoni Defense Weenink Variation 4.Nf3 Bxc5,A56,0,1,1,2,0.5
Black,Birds Opening 1,A02,1,25,16,42,0.38095238095238093
Black,Birds Opening Dutch Variation,A03,0,1,0,1,0.0
Black,Birds Opening Dutch Variation 2.Nf3,A03,0,0,1,1,1.0
Black,Birds Opening Dutch Variation 2.Nf3 c5 3.e3,A03,0,2,0,2,0.0
Black,Birds Opening Froms Gambit 2.fxe5,A02,0,1,0,1,0.0
Black,Bishops Opening 2,C23,0,3,1,4,0.25
Black,Bishops Opening Berlin Defense,C24,0,1,0,1,0.0
Black,Bishops Opening Berlin Vienna Hybrid Variation 4,C28,0,0,2,2,1.0
Black,Caro Kann Defense,B10,0,2,1,3,0.3333333333333333
Black,Caro Kann Defense 2.Nf3,B10,0,1,2,3,0.6666666666666666
Black,Caro Kann Defense 2.Nf3 d5 3.exd5,B10,0,1,0,1,0.0
Black,Caro Kann Defense 2.Nf3 d5 3.exd5 cxd5,B10,0,1,0,1,0.0
Black,Caro Kann Defense 2.d4,B12,0,0,3,3,1.0
Black,Caro Kann Defense 2.f4 d5,B10,0,0,1,1,1.0
